lib_name,version,commit_hash,author,commentary,date,link,is_present
ssri,^5.2.2,e32941d5698379c03629f9b63f7e2471aef6362f,Pavel,TravelNotes-plugin-added-leaflet.marker.pin-plugin-removed-6325,2018-09-04T11:11:48+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,8e12dbe4317eddc7c1addc495ad26f84ebf16952,Kosilo,removed-unused-_drawnLayers-object-6324,2018-09-04T11:11:14+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,f8b12de3701861ca86fb52ad924f17c5727317cd,Pavel,docs-RELEASE-Reformat-RELEASE.md-6303,2018-08-22T21:36:42+04:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,fc043f01f46088306c7ab548f4fef41431dadba8,Kosilo,Release-1.3.4-6304,2018-08-21T19:13:01+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,e57952b880200fde121932bdafaacac2a5bcd0db,Pavel,bump-version,2018-08-21T19:00:31+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,bb47746ae94d4f22c924289783194e49211196e9,Kosilo,docs-RELEASE-add-step-to-announce-on-dedicated-thread-6301,2018-08-21T17:49:31+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,c82b74925d5046a059cbe9ca937b7db05645c900,Pavel,Reword-docstrings-for-draggable-markers-6296,2018-08-21T17:49:07+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,336e82ea168e45340c43f13cfab002a121df1d3b,Kosilo,Plugins-Updated-broken-link-for-Leaflet-Vector-Layers-6293,2018-08-20T09:12:05+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,59f808c390c6834da4f233cf901108229ded04d5,Pavel,Remove-references-to-the-now-defunct-Leaflet-UserVoice-page-6291,2018-08-16T17:27:01-07:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,356f52de42c0a1384e039696712358dbf039c5ee,Kosilo,fixed-capitalization-of-webkitTransform-6290,2018-08-16T23:53:41+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,20ae7c097a8cbb5efa7c968bd0d4bbbd053d7c5f,Pavel,plugins-Spelling-correction-for-a-demo-URL-6287,2018-08-15T10:28:16+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,3bc00660f4e61e1c297c9dacc607c0740818a99c,Kosilo,Plugins-add-leaflet.repeatedmarkers-6285,2018-08-15T08:12:57+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,f9082cb37b4b79532d83aea1c56b6aa9a845f502,Pavel,Remove-unused-prefixes-add-unprefixed-styles-6282,2018-08-13T12:27:51-07:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,ecb6d79f16285d5537b6e4bf2b6d49c340b37210,Kosilo,remove-trailing-commas-6279,2018-08-13T12:27:09-07:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,f12dc430e8fa113c82b085a8e2af73afe9f366c1,Pavel,Add-unprefixed-cursor-grab-6281,2018-08-09T14:22:33+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,0873b2b140c781e29dda96c41a2171b3105a9a72,Kosilo,add-Edge-to-supported-browsers-fixes-6269-6270,2018-08-09T12:21:19+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,c88fb97184962ab32e0ebebe0758c273aaedc5ec,Pavel,Canvas-dashArray-accepts-comma-or-space-separated-strings-6278,2018-08-09T09:52:16+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,9cb9c5cdca18f6d156de2dcb2ad142651027339a,Kosilo,formatting-fix-to-surface-ImageOverlay.setZIndex-in-doc-6266,2018-08-03T11:41:22+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,86bb4090c1b1b56165e40b62992750a4e7e2f963,Pavel,Move-set-getAttribute-src-calls-from-GridLayer-into-TileLayer-6264,2018-08-01T18:58:55+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,72f03a7c5930d6580bfe0850ea48c3ded44130ad,Kosilo,Docs-quickstart-explicitly-highlight-attribution-requirement-6261,2018-08-01T10:53:27+04:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,60638e0427bcdbe2e345fa8451c85f08a374e717,Pavel,Update-plugins.md-6258,2018-07-29T23:11:27+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,f55170cc51a2ee2e90c99534ce091022c950b464,Kosilo,Update-max-width-max-height-css-to-work-with-tiles-in-custom-panes-6255,2018-07-27T19:48:59+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,8150131780a376067815bbadff56e08deb6bb369,Pavel,docstrings-for-the-zoomControl-map-property-6254,2018-07-27T16:18:22+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,8bef7dabba65b30d654abd08ad6b244ecfdbb615,Kosilo,Plugins-add-MapkitMutant-6252,2018-07-27T16:17:59+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,73f106e799957f74d5c72e6898bf37f5f00c519f,Pavel,Release-1.3.3-6241,2018-07-18T12:05:11+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,87ebb534c9c0e910adf4efcb630ee22f0f3f996d,Kosilo,bump-version,2018-07-18T11:54:43+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,485b32a32402ddd503873f555bbca545c5afd5c4,Pavel,hotfix-remove-pkg.module-6239,2018-07-18T11:22:42+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,c189189b9dfd1917ad7e664d1e0c330036dd02d7,Kosilo,Release-1.3.2-6237,2018-07-17T14:00:36+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,1b14781c06a4a2f50359cd979b9f92f4133362ff,Pavel,extend-publish.sh-to-commit-dist-leaflet-src.esm.js-too,2018-07-17T13:47:14+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,00c1a8c9690ec99bc40ed8ec1f3ff4cda145a716,Kosilo,bump-version,2018-07-17T13:35:43+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,fe9c16f71256c3f3db62e34fb461c2310e3065d9,Pavel,docs-plugins-add-Leaflet.Control.Resizer-6236,2018-07-16T13:18:33+04:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,c2dd9301ec74ca5c8e4e9e4b51450d25bf14a96b,Kosilo,docs-plugins-add-Leaflet.Control.Opacity-6235,2018-07-16T13:11:41+04:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,90b75ebea4261a212a5c4a9cbf0783f3a2fa1acd,Pavel,stop-pan-key-event-even-when-pan-anim-is-in-progress-6231,2018-07-09T14:58:24+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,b507e21c510b53cd704fb8d3f89bb46ea925c8eb,Kosilo,docs-geoJsonTutorial-typo-6222,2018-07-06T10:09:20+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,d7f91d9a9d92a61e8cf48da58e4b307c38bb84f2,Pavel,Revert-Test-GridLayer-add-2-new-tests-for-zoom-in-out-in-graphical-browsers-6201-6221,2018-07-06T10:08:45+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,a5ca3d4c9d4dc6b21f40f3ed7a0bb564288b77fe,Kosilo,docs-GeoJSON-tutorial-update-quote,2018-07-05T14:12:36+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,ba1b253126df92b91993a678050d18a99d3d7b63,Jorge,docs-GeoJSON-use-RFC-link-for-previous-HTML-docs,2018-07-05T14:12:36+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,4c9e7cac4c4142243a22003bed314357d8cdcd65,Santos,docs-GeoJSON-use-RFC-link-in-HTML-docs,2018-07-05T14:12:36+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,9eb260d9f7fe50ee73cb353a3023d59c4f46b2f7,Andrew,docs-GeoJSON-use-RFC-page-in-tutorial,2018-07-05T14:12:36+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,e9ba7643d34bb21633d62ec95cbe3ac68b79abb2,Cherniavskii,docs-GeoJSON-update-link-to-RFC-page,2018-07-05T14:12:36+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,35e07a947cb3e8cadba741214b1ccdcc93e0d3e1,Andrew,docs-plugins-add-Leaflet-Select-Polygons-6171,2018-06-26T15:48:36+04:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,95b34edbbad10f58b6ae90e0915e614166c87a4f,Cherniavskii,Test-GridLayer-add-2-new-tests-for-zoom-in-out-in-graphical-browsers-6201,2018-06-26T09:27:54+04:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,380c44fe04b3d8f584ce2277ba74c30c8c810bdc,Andrew,Test-TravisCI-run-tests-in-Firefox-5831,2018-06-25T15:34:32+04:00,https://github.com/IntelligentMap/Cartographer,YES
